Model,MDO4104-3
Firmware Version,3.18

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,1.82,
Sample Interval,2e-05,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,20,0.02
Vertical Position,-0.18,-0.74
,,
,,
,,
Label,,
TIME,CH1,CH3
8.272000e-01,-0.5,-0.0047375
8.272200e-01,-0.51875,-0.00253438
8.272400e-01,-0.525,-0.00354688
8.272600e-01,-0.509375,-0.00435312
8.272800e-01,-0.565625,-0.00417813
8.273000e-01,-0.546875,-0.004625
8.273200e-01,-0.5375,-0.00279375
8.273400e-01,-0.49375,-0.00417813
8.273600e-01,-0.5,-0.0030375
8.273800e-01,-0.5125,-0.00540625
8.274000e-01,-0.509375,-0.00357187
8.274200e-01,-0.5125,-0.00270937
8.274400e-01,-0.5,-0.00349687
8.274600e-01,-0.51875,-0.0011875
8.274800e-01,-0.540625,-0.00629063
8.275000e-01,-0.50625,-0.00378125
8.275200e-01,-0.490625,-0.00379688
8.275400e-01,-0.496875,-0.00368125
8.275600e-01,-0.521875,-0.00119063
8.275800e-01,-0.534375,-0.00708125
8.276000e-01,-0.53125,-0.00319688
8.276200e-01,-0.484375,-0.00348125
8.276400e-01,-0.496875,-0.00374063
8.276600e-01,-0.48125,-0.00111562
8.276800e-01,-0.496875,-0.00651875
8.277000e-01,-0.46875,-0.0031625
8.277200e-01,-0.509375,-0.00405
8.277400e-01,-0.509375,-0.00338437
8.277600e-01,-0.490625,-0.00134063
8.277800e-01,-0.5,-0.00513125
8.278000e-01,-0.5125,-0.00379062
8.278200e-01,-0.46875,-0.00420625
8.278400e-01,-0.471875,-0.00365313
8.278600e-01,-0.49375,-0.00255312
8.278800e-01,-0.5375,-0.00476562
8.279000e-01,-0.521875,-0.00415937
8.279200e-01,-0.509375,-0.0040125
8.279400e-01,-0.534375,-0.00330313
8.279600e-01,-0.53125,-0.00246875
8.279800e-01,-0.5375,-0.00340937
8.280000e-01,-0.525,-0.005525
8.280200e-01,-0.49375,-0.00421875
8.280400e-01,-0.50625,-0.00301875
8.280600e-01,-0.56875,-0.00364063
8.280800e-01,-0.565625,-0.00246875
8.281000e-01,-0.546875,-0.00523125
8.281200e-01,-0.509375,-0.00448437
8.281400e-01,-0.5125,-0.00385625
8.281600e-01,-0.49375,-0.00342813
8.281800e-01,-0.53125,-0.00189375
8.282000e-01,-0.5625,-0.00503438
8.282200e-01,-0.553125,-0.005375
8.282400e-01,-0.546875,-0.00245625
8.282600e-01,-0.546875,-0.00384375
8.282800e-01,-0.51875,-0.00127813
8.283000e-01,-0.5375,-0.0055375
8.283200e-01,-0.53125,-0.00432187
8.283400e-01,-0.553125,-0.00329688
8.283600e-01,-0.471875,-0.00401563
8.283800e-01,-0.478125,-0.00193437
8.284000e-01,-0.50625,-0.00496875
8.284200e-01,-0.540625,-0.00583125
8.284400e-01,-0.50625,-0.00334687
8.284600e-01,-0.509375,-0.00405313
8.284800e-01,-0.521875,-0.00259687
8.285000e-01,-0.51875,-0.00423125
8.285200e-01,-0.521875,-0.00567812
8.285400e-01,-0.55,-0.0027
8.285600e-01,-0.53125,-0.0045625
8.285800e-01,-0.55,-0.00228125
8.286000e-01,-0.534375,-0.0033
8.286200e-01,-0.559375,-0.0056125
8.286400e-01,-0.540625,-0.00280937
8.286600e-01,-0.53125,-0.00492813
8.286800e-01,-0.5375,-0.00295
8.287000e-01,-0.521875,-0.00291875
8.287200e-01,-0.534375,-0.00570312
8.287400e-01,-0.50625,-0.0030375
8.287600e-01,-0.521875,-0.00420312
8.287800e-01,-0.51875,-0.00233437
8.288000e-01,-0.51875,-0.00217188
8.288200e-01,-0.48125,-0.00555312
8.288400e-01,-0.50625,-0.00449063
8.288600e-01,-0.496875,-0.00339375
8.288800e-01,-0.484375,-0.00283438
8.289000e-01,-0.53125,-0.00270313
8.289200e-01,-0.50625,-0.00295
8.289400e-01,-0.5375,-0.00527813
8.289600e-01,-0.534375,-0.00369687
8.289800e-01,-0.5,-0.00305937
8.290000e-01,-0.51875,-0.0031625
8.290200e-01,-0.553125,-0.00269688
8.290400e-01,-0.534375,-0.00674375
8.290600e-01,-0.484375,-0.00274687
8.290800e-01,-0.490625,-0.003825
8.291000e-01,-0.459375,-0.00277188
8.291200e-01,-0.48125,-0.0023625
8.291400e-01,-0.490625,-0.00648125
8.291600e-01,-0.525,-0.00294688
8.291800e-01,-0.521875,-0.00410625
8.292000e-01,-0.5125,-0.0031125
8.292200e-01,-0.521875,-0.00232813
8.292400e-01,-0.525,-0.0070875
8.292600e-01,-0.53125,-0.00272813
8.292800e-01,-0.50625,-0.00454375
8.293000e-01,-0.49375,-0.002075
8.293200e-01,-0.49375,-0.00211875
8.293400e-01,-0.553125,-0.00621875
8.293600e-01,-0.53125,-0.0025625
8.293800e-01,-0.55,-0.00415313
8.294000e-01,-0.55,-0.0022875
8.294200e-01,-0.5125,-0.00239063
8.294400e-01,-0.525,-0.0056125
8.294600e-01,-0.525,-0.0030125
8.294800e-01,-0.5125,-0.00409375
8.295000e-01,-0.46875,-0.0023625
8.295200e-01,-0.525,-0.00331562
8.295400e-01,-0.51875,-0.00361875
8.295600e-01,-0.5125,-0.004925
8.295800e-01,-0.509375,-0.00456875
8.296000e-01,-0.5,-0.00262187
8.296200e-01,-0.540625,-0.00383125
8.296400e-01,-0.496875,-0.00279688
8.296600e-01,-0.496875,-0.00594688
8.296800e-01,-0.484375,-0.00434375
8.297000e-01,-0.509375,-0.00264687
8.297200e-01,-0.55,-0.00423437
8.297400e-01,-0.534375,-0.001825
8.297600e-01,-0.546875,-0.0068125
8.297800e-01,-0.46875,-0.00364688
8.298000e-01,-0.471875,-0.00380625
8.298200e-01,-0.48125,-0.0039
8.298400e-01,-0.490625,-0.00102187
8.298600e-01,-0.459375,-0.00753125
8.298800e-01,-0.50625,-0.00359687
8.299000e-01,-0.49375,-0.00462813
8.299200e-01,-0.496875,-0.00366562
8.299400e-01,-0.521875,-0.001475
8.299600e-01,-0.521875,-0.00679688
8.299800e-01,-0.496875,-0.00290625
8.300000e-01,-0.565625,-0.00409687
8.300200e-01,-0.565625,-0.0034125
8.300400e-01,-0.553125,-0.0019625
8.300600e-01,-0.49375,-0.00578125
8.300800e-01,-0.525,-0.00383125
8.301000e-01,-0.5625,-0.004125
8.301200e-01,-0.525,-0.00339375
8.301400e-01,-0.5,-0.00207813
8.301600e-01,-0.534375,-0.0045875
8.301800e-01,-0.553125,-0.0052
8.302000e-01,-0.5,-0.00468125
8.302200e-01,-0.50625,-0.00308438
8.302400e-01,-0.5,-0.0031
8.302600e-01,-0.496875,-0.00342188
8.302800e-01,-0.525,-0.0048625
8.303000e-01,-0.5125,-0.00551562
8.303200e-01,-0.540625,-0.00267812
8.303400e-01,-0.5125,-0.0032375
8.303600e-01,-0.496875,-0.0022875
8.303800e-01,-0.490625,-0.00553125
8.304000e-01,-0.478125,-0.00406875
8.304200e-01,-0.49375,-0.00327188
8.304400e-01,-0.46875,-0.0030125
8.304600e-01,-0.459375,-0.00120312
8.304800e-01,-0.46875,-0.00635625
8.305000e-01,-0.459375,-0.00375
8.305200e-01,-0.465625,-0.00324375
8.305400e-01,-0.51875,-0.00424375
8.305600e-01,-0.5,-0.00183125
8.305800e-01,-0.496875,-0.00625938
8.306000e-01,-0.51875,-0.00439375
8.306200e-01,-0.509375,-0.00300312
8.306400e-01,-0.5125,-0.00361875
8.306600e-01,-0.45625,-0.00093125
8.306800e-01,-0.5,-0.00541563
8.307000e-01,-0.5125,-0.00504375
8.307200e-01,-0.5,-0.00335938
8.307400e-01,-0.509375,-0.00421563
8.307600e-01,-0.490625,-0.00181875
8.307800e-01,-0.496875,-0.00355
8.308000e-01,-0.51875,-0.00479375
8.308200e-01,-0.509375,-0.00349063
8.308400e-01,-0.49375,-0.0036875
8.308600e-01,-0.48125,-0.00197813
8.308800e-01,-0.490625,-0.0033375
8.309000e-01,-0.5,-0.00571875
8.309200e-01,-0.484375,-0.00377813
8.309400e-01,-0.53125,-0.00331875
8.309600e-01,-0.496875,-0.00260938
8.309800e-01,-0.48125,-0.00314688
8.310000e-01,-0.50625,-0.00518438
8.310200e-01,-0.50625,-0.00394062
8.310400e-01,-0.5125,-0.00399688
8.310600e-01,-0.5,-0.00195312
8.310800e-01,-0.49375,-0.0019375
8.311000e-01,-0.496875,-0.00488437
8.311200e-01,-0.51875,-0.00439688
